Rk,G,Date,HomeAway,Opp,WL,Tm,Opponent,FG,FGA,FGPercentage,X3P,X3PA,X3PPercentage,FT,FTA,FTPercentage,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/28/2015,,PHI,W,112,95,39,85,0.459,8,24,0.333,26,27,0.963,10,41,31,10,7,17,23
2,2,10/30/2015,,TOR,L,103,113,32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28
3,3,11/1/2015,,SAS,L,87,95,35,98,0.357,6,29,0.207,11,14,0.786,16,45,21,10,5,16,23
4,4,11/4/2015,@,IND,L,98,100,35,83,0.422,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22
5,5,11/6/2015,,WAS,W,118,98,44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21
6,6,11/10/2015,@,MIL,W,99,83,38,86,0.442,7,30,0.233,16,19,0.842,14,45,21,11,6,12,18
7,7,11/11/2015,,IND,L,91,102,32,77,0.416,4,24,0.167,23,32,0.719,8,36,18,10,3,18,26
8,8,11/13/2015,,ATL,W,106,93,42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18
9,9,11/15/2015,@,OKC,W,100,85,39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26
10,10,11/16/2015,@,HOU,W,111,95,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22
11,11,11/18/2015,,DAL,L,102,106,38,92,0.413,8,26,0.308,18,24,0.75,14,43,22,12,1,14,28
12,12,11/20/2015,,BRK,W,120,95,51,87,0.586,10,29,0.345,8,10,0.8,7,41,39,10,4,16,19
13,13,11/22/2015,@,BRK,L,101,111,35,82,0.427,14,37,0.378,17,21,0.81,10,35,19,9,2,17,28
14,14,11/24/2015,@,ATL,L,97,121,34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19
15,15,11/25/2015,,PHI,W,84,80,31,91,0.341,9,29,0.31,13,18,0.722,11,54,18,7,6,16,12
16,16,11/27/2015,,WAS,W,111,78,42,97,0.433,12,33,0.364,15,19,0.789,19,58,28,11,7,15,15
17,17,11/29/2015,@,ORL,L,91,110,36,88,0.409,5,27,0.185,14,20,0.7,9,34,28,7,6,11,16
18,18,11/30/2015,@,MIA,W,105,95,38,80,0.475,8,20,0.4,21,25,0.84,12,40,23,15,3,15,21
19,19,12/3/2015,@,SAC,W,114,97,40,84,0.476,14,33,0.424,20,24,0.833,6,40,34,14,5,16,32
20,20,12/5/2015,@,SAS,L,105,108,39,86,0.453,12,29,0.414,15,22,0.682,11,39,22,9,3,14,22
21,21,12/7/2015,@,NOP,W,111,93,40,81,0.494,12,28,0.429,19,24,0.792,10,46,24,8,8,17,18
